Time (s),x (cm),y (cm),theta (rad)
1654213184.41822,2.314181074325461e-05,-3.9902617572806776e-05,-1.2167063585673985
1654213184.494337,2.314181074325461e-05,-3.9902617572806776e-05,-1.2167061926152924
1654213184.49441,3.1917992600938305e-05,-6.364307773765177e-05,-1.2167040439842474
1654213184.548149,2.3141799829318188e-05,-3.990262121078558e-05,-1.2167050693887655
1654213184.548227,2.3141799829318188e-05,-3.990262121078558e-05,-1.2167065245195092
1654213184.594834,3.191802170476876e-05,-6.364307046169415e-05,-1.216700108318312
1654213184.594936,3.191802170476876e-05,-6.364307046169415e-05,-1.216682978653672
1654213184.656444,2.314140510861762e-05,-3.9902770367916673e-05,-1.2166904202590747
1654213184.662547,2.314140510861762e-05,-3.9902770367916673e-05,-1.216694619699378
1654213184.713568,2.314140510861762e-05,-3.9902770367916673e-05,-1.2166951472480134
1654213184.76704,2.314140510861762e-05,-3.9902770367916673e-05,-1.2166956451038526
1654213184.767139,2.314140510861762e-05,-3.9902770367916673e-05,-1.2167080774721892
1654213184.81381,2.314140510861762e-05,-3.9902770367916673e-05,-1.216704473710464
1654213184.825579,3.19176324410364e-05,-6.364321598084643e-05,-1.2167015634490241
1654213184.876551,2.3141445126384497e-05,-3.9902755816001445e-05,-1.2167079796502578
1654213184.925693,2.3141445126384497e-05,-3.9902755816001445e-05,-1.2167069542457183
1654213184.925763,2.3141445126384497e-05,-3.9902755816001445e-05,-1.2167109877336029
1654213184.983112,3.1917516025714576e-05,-6.364325963659212e-05,-1.2167082434243228
1654213185.015947,3.1917516025714576e-05,-6.364325963659212e-05,-1.2167060266631915
1654213185.076546,2.31411395361647e-05,-3.990287223132327e-05,-1.216687607820234
1654213185.076696,2.31411395361647e-05,-3.990287223132327e-05,-1.2167049034366764
1654213185.130216,2.31411395361647e-05,-3.990287223132327e-05,-1.2166982234613655
1654213185.130326,2.31411395361647e-05,-3.990287223132327e-05,-1.216701993175248
1654213185.181575,2.31411395361647e-05,-3.990287223132327e-05,-1.2166976277831432
1654213185.215721,1.4364817616296932e-05,-1.616246299818158e-05,-1.2167005380445415
1654213185.268849,2.3141141355154105e-05,-3.990287223132327e-05,-1.2166974618311688
1654213185.318925,3.191751238773577e-05,-6.364326691254973e-05,-1.2166967683306578
1654213185.319308,2.3141055862652138e-05,-3.990290861111134e-05,-1.2166901861778705
1654213185.369878,2.3141055862652138e-05,-3.990290861111134e-05,-1.216694287795513
1654213185.380038,2.3141055862652138e-05,-3.990290861111134e-05,-1.2166931645686472
1654213185.42687,3.1917716114548966e-05,-6.364319415297359e-05,-1.216676562452939
1654213185.47927,2.314106131962035e-05,-3.990290861111134e-05,-1.2166935942949162
1654213185.523225,2.314106131962035e-05,-3.990290861111134e-05,-1.2166971980569024
1654213185.523616,2.314106131962035e-05,-3.990290861111134e-05,-1.2166882034983533
1654213185.575236,2.314106131962035e-05,-3.990290861111134e-05,-1.216694287795513
1654213185.575637,2.314106131962035e-05,-3.990290861111134e-05,-1.216692998616734
1654213185.626644,2.314106131962035e-05,-3.990290861111134e-05,-1.2166907818560009
1654213185.652595,2.314106131962035e-05,-3.990290861111134e-05,-1.2166904202590747
1654213185.70121,2.314106131962035e-05,-3.990290861111134e-05,-1.2166887991764848
1654213185.747487,2.314106131962035e-05,-3.990290861111134e-05,-1.2166912797116431
1654213185.747853,2.314106131962035e-05,-3.990290861111134e-05,-1.2166926667129225
1654213185.79326,3.1917505111778155e-05,-6.364327418850735e-05,-1.2166953131999547
1654213185.8228,2.3141075871535577e-05,-3.9902904973132536e-05,-1.216693858069257
1654213185.867228,2.3141075871535577e-05,-3.9902904973132536e-05,-1.2166922369866666
1654213185.915408,2.3141075871535577e-05,-3.9902904973132536e-05,-1.2166919732122992
1654213185.959806,3.1917556043481454e-05,-6.36432523606345e-05,-1.216692998616734
1654213185.960224,2.3141161364037544e-05,-3.9902868593344465e-05,-1.2166990829138398
1654213186.004236,2.3141161364037544e-05,-3.9902868593344465e-05,-1.2167008699485928
1654213186.015771,2.3141161364037544e-05,-3.9902868593344465e-05,-1.2167051672107958
1654213186.061282,2.3141161364037544e-05,-3.9902868593344465e-05,-1.2166986531876045
1654213186.107195,2.3141161364037544e-05,-3.9902868593344465e-05,-1.216695576974258
1654213186.15169,2.3141161364037544e-05,-3.9902868593344465e-05,-1.2166720992378384
1654213186.196065,3.191797077306546e-05,-6.364309956552461e-05,-1.2166851272851762
1654213186.196474,3.191797077306546e-05,-6.364309956552461e-05,-1.2166901861778705
1654213186.242821,2.3141501515056007e-05,-3.9902744902065024e-05,-1.2166956451038526
1654213186.283592,2.3141501515056007e-05,-3.9902744902065024e-05,-1.2166941218435878
1654213186.345938,2.3141501515056007e-05,-3.9902744902065024e-05,-1.2166974618311688
1654213186.43561,2.3141501515056007e-05,-3.9902744902065024e-05,-1.2166980575093804
1654213186.435987,2.3141501515056007e-05,-3.9902744902065024e-05,-1.2166979596871073
1654213186.486355,2.3141501515056007e-05,-3.9902744902065024e-05,-1.21666859329854
1654213186.48674,3.191835276084021e-05,-6.364296132232994e-05,-1.2166850294624627
1654213186.534552,2.3141814381233416e-05,-3.9902632124722004e-05,-1.216694883473701
1654213186.546675,2.3141814381233416e-05,-3.9902632124722004e-05,-1.216694619699378
1654213186.601253,2.3141814381233416e-05,-3.9902632124722004e-05,-1.2166935942949162
1654213186.601633,3.1918130844132975e-05,-6.36430413578637e-05,-1.2167049034366764
1654213186.667332,2.3141870769904926e-05,-3.990261029684916e-05,-1.216698487235614
1654213186.685908,2.3141870769904926e-05,-3.990261029684916e-05,-1.2166976277831432
1654213186.753148,3.1918643799144775e-05,-6.364285218296573e-05,-1.2166625090009842
